"1," "Дизайн страниц выполняется в строгом соответствии с корпоративным стилем компании, с пожеланиями клиента.Исполнитель предоставляет Заказчику вариант концепции дизайна на примере начальной страницы. После утверждения Исполнитель приступает к выполнению оставшихся страниц.""";
1,Стиль оформления произвольный. Количество знаков заголовка и анонса не лимитировано. Заголовок новости является ссылкой. При нажатии на ссылку ;
1,Графическая шапка с горизонтальной навигацией может содержать ненавязчивые флэш-элементы (например, анимированный логотип, являющийся одновременно ссылкой на основную страницу сайта), но не должна отвлекать от информационного наполнения страницы. Желательна разработка нескольких вариантов графической шапки в привязке к основным разделам каталога. Для разделов основной навигации разрабатывается общая шапка.;
1,Внутренняя навигация раздела «Каталог» отображается в виде списка в левой части экрана под шапкой в виде колонки в текстовом виде для последующей легкой модификации данной области. ;
1,В дизайне отдельно предусматриваются ссылки на список туров и спецпредложения.;
1,Между шапкой и контентной областью предполагается «баннерная крутилка»;
1,Внизу страницы отображается облегченная навигационная панель в текстовом виде, Copyright, контактный e-mail, ссылка на «Основную страницу» сайта.;
2,Сайт разрабатывается под базовое разрешение экрана 800х600 пкс;
3,По ссылке на заголовок тура пользователь переходит на страницу с полным описанием конкретного тура. С шаблоне полного описания тура вверху и внизу страницы предусматриваются ссылки «Заказать тур». По этим ссылкам пользователь переходит на страницу с mail-формой, где он может оформить заявку на выбранный им тур. Данные по выбранному туру автоматически передаются в поля формы. Пользователю остается только заполнить поля, относящиеся к его личным данным и комментарий.;
"2,""Корректное отображение браузерами Internet Explorer, Netscape Navigator версии Структура.0 и выше,";
"2,Использование фирменных цветов и логотипа компании""";
"2,""Обязательная визуальная поддержка действий пользователя – т.н. «интерактив» (визуальное отображение  активных, пассивных ссылок"; четкое обозначение местонахождения пользователя).  По ссылке с каждой страницы загружается почтовая программа (бланк письма для обратной связи). 
"2,Мета-теги и контент сайта на этапе изготовления сайта д.б. настроены для поисковых систем, что обеспечить продвижение сайта по ключевым словам в поисковых системах Yandex, Aport!, Rambler.";
"4,Содержит графическую часть, основную навигацию, а также контентную область для того, чтобы посетитель сайта с первой страницы мог получить вводную информацию о компании, а также ознакомиться с последними новостями компании.
4,«О компании» - содержит краткую информацию раздела со ссылкой «подробнее», ведущую на раздел «О компании».
3,По ссылке «Отправить заказ» пользователь переходит на страницу, где в таблице отображаются все данные его заказа (и его личные данные), под таблицей Нефункц. требования кнопки «Подтвердить заказ» «Вернуться к редактированию корзины». По нажатию на кнопку «Подтвердить заказ», содержимое «Корзины» уходит на e-mail администратора сайта интернет-магазина, пользователю приходит по e-mail подтверждение с перечнем заказанных товаров.
3,Оформление заказа в он-лайн режиме производится непосредственно на сайте и может быть осуществлено как зарегистрированным пользователем, так и не зарегистрированным. Процесс заказа состоит из нескольких этапов. 
3,Нажав на кнопку «Отправить заказ», пользователь попадает на страницу с перечислением всего заказанного (без возможности редактирования) и формы для указания его личных данных, уже заполненной в том случае, если пользователь предварительно авторизовался. Так же на странице Взаимодействие пользователя кнопки: «Подтвердить заказ», 
1, Дизайн Сайта должен быть консервативным - использовать неброские, неяркие, пастельные цвета и тона.Дизайн Сайта должен быть лаконичным и в то же время выглядеть «дорого», стильно, современно.Приветствуется использование небольших, но стильных графических элементов (пиктограмм, «визуалов») в оформлении контента Сайта.Приветствуется использование в дизайне Сайта небольших флэш-элементов (допустима незначительная обработка логотипа)."
"1, Основными шрифтовыми гарнитурами корпоративного стиля компании являются гарнитуры Arial и Futura. Шрифты, используемые для оформления графических элементов Сайта, не должны противоречить корпоративному стилю компании.  Шрифты, используемые для оформления текстовых материалов Сайта, не должны противоречить корпоративному стилю компании. В случае отсутствия необходимых шрифтов на компьютере пользователя необходимо предусмотреть использование стандартных групп шрифтов браузеров (Arial/Helvetica, Times New Roman, Courier) таким образом, чтобы замена шрифтов из соответствующей группы не приводила к визуальному искажению текста.  Размер (кегль) шрифтов должен обеспечивать удобство восприятия текста при минимально допустимом размере экрана.";
